id,source_x,source_y,target_x,target_y
urban_center_station,6.5665,53.2194,6.5641,53.2108
urban_center_zernike,6.5665,53.2194,6.5303,53.2410
urban_paddepoel_helpman,6.5408,53.2351,6.5760,53.1990
urban_station_europapark,6.5641,53.2108,6.5860,53.2030
town_haren_center,6.6027,53.1716,6.5665,53.2194
town_hoogezand_center,6.7530,53.1610,6.5665,53.2194
town_bedum_center,6.6010,53.3010,6.5665,53.2194
town_zuidhorn_center,6.4070,53.2480,6.5665,53.2194
town_leek_center,6.3920,53.1620,6.5665,53.2194
town_winsum_center,6.5210,53.3310,6.5665,53.2194
town_tenboer_center,6.6960,53.2740,6.5665,53.2194
regional_delfzijl_center,6.9210,53.3300,6.5665,53.2194
regional_appingedam_leek,6.8580,53.3210,6.3920,53.1620
regional_veendam_zuidhorn,6.8780,53.1030,6.4070,53.2480
regional_winschoten_center,7.0340,53.1430,6.5665,53.2194
regional_stadskanaal_center,6.9510,52.9920,6.5665,53.2194
regional_uithuizen_haren,6.6700,53.4080,6.6027,53.1716
regional_marum_delfzijl,6.2630,53.1440,6.9210,53.3300
long_eemshaven_stadskanaal,6.8320,53.4350,6.9510,52.9920
long_grijpskerk_winschoten,6.3060,53.2630,7.0340,53.1430
long_bourtange_zuidhorn,7.1920,53.0070,6.4070,53.2480
long_eemshaven_marum,6.8320,53.4350,6.2630,53.1440
long_uithuizen_stadskanaal,6.6700,53.4080,6.9510,52.9920
long_lauwersoog_bourtange,6.2210,53.4020,7.1920,53.0070
long_delfzijl_marum,6.9210,53.3300,6.2630,53.1440
