id,source_lon,source_lat,target_lon,target_lat,bucket
short_0001,6.654402,52.760071,6.681002,52.757143,short
medium_0001,5.684387,53.198785,5.934359,53.242084,medium
long_0001,6.103335,53.104580,5.493868,52.886027,long
short_0002,6.144050,52.759252,6.201506,52.754164,short
medium_0002,6.514688,53.138975,6.453136,53.175916,medium
long_0002,6.916532,53.292718,5.875874,53.316470,long
short_0003,6.486565,52.810366,6.468447,52.807883,short
medium_0003,6.576494,52.761806,6.206597,52.799557,medium
long_0003,6.453350,53.095028,6.864583,53.210845,long
short_0004,6.074597,53.150697,6.055032,53.113284,short
medium_0004,6.856095,53.028736,6.441275,53.120183,medium
long_0004,6.764271,53.004968,5.927028,53.159638,long
short_0005,6.915450,52.706854,6.912467,52.707339,short
medium_0005,6.966877,53.210743,6.997351,53.164996,medium
long_0005,6.459351,52.822557,5.853179,53.019049,long
short_0006,5.634672,52.885081,5.604472,52.885663,short
medium_0006,6.433140,53.165221,6.565036,53.275382,medium
long_0006,7.048331,53.141394,5.813568,53.281838,long
short_0007,7.010244,53.117410,7.027961,53.111525,short
medium_0007,6.532217,52.941520,6.623945,52.952776,medium
long_0007,6.875441,52.797823,5.716648,53.147884,long
short_0008,6.913607,52.694115,6.920717,52.721505,short
medium_0008,5.686728,52.977072,5.515404,53.175229,medium
long_0008,7.122220,53.025278,6.274655,52.749848,long
short_0009,7.154278,53.056330,7.151639,53.085066,short
medium_0009,6.827880,52.744035,6.890120,52.869989,medium
long_0009,6.773000,52.898341,5.894532,52.996724,long
short_0010,7.088766,53.062509,7.116273,53.060001,short
medium_0010,6.157176,53.324095,6.164822,53.091376,medium
long_0010,6.565323,53.027548,7.056128,52.753786,long
short_0011,6.799728,52.735381,6.827442,52.756692,short
medium_0011,6.361115,53.323816,6.458129,53.317862,medium
long_0011,6.910617,52.650767,7.088114,52.971736,long
short_0012,6.534793,53.258407,6.515753,53.297771,short
medium_0012,6.594485,53.290605,6.850823,53.352346,medium
long_0012,5.627403,53.137815,6.506435,53.388950,long
short_0013,5.716225,53.074435,5.717318,53.077973,short
medium_0013,5.959672,53.077863,5.888953,53.049729,medium
long_0013,6.617248,53.181656,6.732586,52.686327,long
short_0014,6.140979,53.267970,6.175770,53.256165,short
medium_0014,5.725176,52.899584,5.488530,52.880528,medium
long_0014,6.730861,52.896714,6.390415,53.252181,long
short_0015,6.378555,52.912952,6.377592,52.924414,short
medium_0015,5.648758,53.200695,5.709103,53.049062,medium
long_0015,6.294237,52.691791,6.780242,53.122808,long
short_0016,6.191292,52.762090,6.205986,52.727484,short
medium_0016,6.868425,52.683777,6.991364,52.692484,medium
long_0016,5.817499,53.274833,6.444794,53.256037,long
short_0017,5.803384,53.337798,5.747546,53.310618,short
medium_0017,6.850239,52.995643,6.881716,53.223436,medium
long_0017,6.219747,52.729126,6.758835,52.701234,long
short_0018,5.763767,53.065973,5.769138,53.059859,short
