id,source_x,source_y,target_x,target_y
1,2.3551029049,48.8420709005,2.3573756049,48.8489962005
2,2.3573756049,48.8489962005,2.3519829049,48.8488342005
3,2.3519829049,48.8488342005,2.3461573049,48.8493233005
4,2.3461573049,48.8493233005,2.3468259049,48.8520600005
5,2.3468259049,48.8520600005,2.3445730049,48.8540302005
6,2.3445730049,48.8540302005,2.3365739049,48.8593819005
7,2.3365739049,48.8593819005,2.3556385049,48.8609579005
8,2.3556385049,48.8609579005,2.3498469049,48.8834754005
9,2.3498469049,48.8834754005,2.3544002049,48.8852503005
10,2.3544002049,48.8852503005,2.4093613049,48.8351424005
11,2.4093613049,48.8351424005,2.3383525049,48.8198163005
