PedestrianRouteID,FeatureType,Direction,AliasNameEN,StreetNameEN,access_time_type,access_time_details
250009329,8,-1,Escalator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
250009423,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250009531,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250009566,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250009706,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250009795,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250009860,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250010006,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250011096,9,1,Central – Mid-Levels Travelator,COCHRANE STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250011163,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250011303,8,0,Escalator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
250011479,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250011674,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250011990,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250012071,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250012510,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
250021142,8,1,Conduit Road Escalator,CONDUIT ROAD,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066748,9,1,Central – Mid-Levels Travelator,Cochrane Street,OPEN,"[{""day_code"":""ED"",""from_time"":1000,""to_time"":2359}]"
290066759,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066760,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066761,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066762,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066763,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066764,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066765,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066766,9,1,Central – Mid-Levels Travelator,SHELLEY STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066767,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066768,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066769,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066770,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066771,9,1,Central – Mid-Levels Travelator,Cochrane Street,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066772,9,1,Central – Mid-Levels Travelator,,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
290066773,9,1,Central – Mid-Levels Travelator,COCHRANE STREET,OPEN,"[{""day_code"":""ED"",""from_time"":600,""to_time"":1000}]"
